tokens	生活	心理学	电影	游戏	恋爱	音乐	大学	心理	情感	互联网	社会	人际交往	教育	汽车	医学	法律	爱情	文学	动漫	SNH48	人生	健身	学习	手机	健康	英雄联盟（LoL）	旅行	X 是种怎样的体验	美食	程序员	创业	高考	NBA	大学生	小说	物理学	金融	足球	婚姻	摄影	工作	编程	生活经历	恋爱心理	刀塔（DOTA 2）	男朋友	电视剧	留学	女生	篮球	明星	日本	阅读	女朋友	大学生活	中国	经济	女性	文化	职业规划	脑洞（网络用语）	投资	家庭	减肥	考研	哲学	计算机	设计	网络游戏	生活方式	数学	生物学	英语	知乎	高中	苹果公司 (Apple Inc.)	Android	科技	感情	股票	职场	体育	电子竞技	美容护肤	单机游戏	运动	父母	小米科技	军事	微信	影视评论	生活常识	同性恋	美国	iPhone	汽车选购	日本动漫	经济学	故事	心理咨询	分手	猫	ACG	科学	服饰搭配	小米手机	王者荣耀	电子商务	手机游戏	时尚	恋人相处	淘宝网	艺术	医生	流行音乐	男同性恋	个人情感咨询	产品经理	电影推荐	结婚	娱乐	宠物	职业发展	前端开发	冷知识	儿童教育	市场营销	保险	语言	腾讯	社会现象	化学	理财	中医	SNH Group	笔记本电脑	炉石传说（Hearthstone）	娱乐圈	朋友	书籍	演员	英语学习	哔哩哔哩	狗	美剧	书籍推荐	动画	建筑	社会心理学	成长	漫画	DotA	二次元	魔兽世界	烹饪	商业	社交网络	家庭教育	移动互联网	科幻	就业	人性	装修	公务员	人生规划	计算机科学	微软（Microsoft）	房地产	汽车行业	北京	Java	男生	宠物饲养	歌曲	城市	写作	暴雪娱乐 (Blizzard)	社会学	道德	研究生	性格	自然科学	男性	上海	韩国流行音乐（K-Pop）	人工智能	广告	学生	银行	股票市场	信息技术（IT）	留学美国	Android 手机	求职	微博	摇滚乐	化妆	搞笑	跑步	动物	异地恋	心理健康	百度	大学专业	软件	绘画	台湾	相亲	饮食	价值观	金庸	智能手机	医疗	罗永浩	单身	家庭关系	网络小说	相声	编程语言	影视	警察	建筑设计	睡眠	会计	学习方法	经历	青春	育儿	孤独	武侠	魅族科技	新闻	教师	Steam	房价	绝地求生：大逃杀（PUBG）	买房	诗词	化妆品	情商	生理学	IT 行业	钢琴	应用程序（软件）	华为	人力资源（HR）	耳机	大学生就业	计算机网络	Python	清华大学	iOS	武术	C++	Microsoft Windows	游戏开发	职业	衣服	谷歌 (Google)	翻译	阿里巴巴集团	女性心理	JavaScript	飞机	科研	游戏设计	日常心理分析	周杰伦（人物）	吉他	恋爱技巧	锤子科技	美女	女性主义	中国历史	单反相机	Android 开发	情绪	天文学	汉语	养生	高中学习	日本动画	海贼王（ONE PIECE）	高中生	食物	医院	NBA 球员	律师	诗歌	购物	互联网产品	中国经济	爱	土木工程	演技	基础护肤	新浪微博	学校	招聘	辩论	面试	女同性恋	网络安全	歌手	媒体	一个人的生活	Linux	犯罪	出国	社会心理	古典音乐	C（编程语言）	美术	日本文化	礼物	Adobe Photoshop	摄影技巧	赚钱	生物	追求女孩	表白	机器学习	偶像	支付宝	三国	考试	微信公众帐号	法律咨询	韩国	用户体验	失恋	颜值	日语	华语流行音乐	人文abc	模拟联合国	摄影器材	期货	用户界面设计	军事装备	PlayStation 4	歌词	知乎用户	销售	留学日本	iOS 应用	留学英国	锤子手机	吃货	创业公司	人生意义	室内设计	知乎社区	逻辑	漫威（Marvel）	城市生活	日剧	博士	爱情困惑	音乐人	日本漫画	互联网创业	英格兰足球超级联赛（Premier League）	腾讯 QQ	音乐推荐	地理	食品安全	小说创作	Mac	北京大学	韩国流行音乐团体（GROUP）	医学生	金庸小说	电脑硬件	心理调节	高考志愿	Windows 10	游戏策划	外貌	唱歌	英雄联盟职业联赛（LPL）	购机咨询	算法	用户体验设计	索尼 (Sony)	权力的游戏（美剧）	航空	品牌	风险投资（VC）	产品	网易云音乐	操作系统	家居	驾驶	高三	孩子	行为心理学	财务	985 工程大学	应届毕业生
到 长沙 一中 读 高中 还是 在 本地 读 比较 好 ？ ， 本人 娄底 初三 学生 ， 成绩 不算 特别 好 ， 年级 前十 左右 ， 之前 陪 朋友 考试 莫名其妙 就 考过 了 ， 学校 老师 找 我 谈 了 几次 话 ， 现在 不 知道 该不该 去 ， 是 在 本地 读 双峰 一中 比较 好 还是 去 长沙 一中 比较 好 ？ PS ： 我 有些 偏科 ， 文科 不是 很 好 。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
金庸 小说 中 最 可爱 之人 是 谁 ？ ，	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
台湾人 有没有 争取 独立 的 权利 ？ ， 虽然 我 很 喜欢 吃 凤梨 酥 并 不 赞成 台独 。 但是 作为 一个 还 没有 回归 的 地区 ， 其 民众 是否 应该 有 争取 独立 或 回归祖国 两种 选择 ？	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
老婆 喜欢 把 生活 质量 的 提高 落到实处 ， 比如 买大 钻戒 ， 买 貂皮 之类 ， 我 觉得 这是 过度 消费 。 ？ ， 两人 月 收入 1 万 ， 我 7000 ， 她 4500 。 对 未来 的 惶恐 让 我 不得不 努力 存钱 ， 该 如何 解决 这个 观念 上 的 矛盾 。 1 、 感谢 大家 的 回答 ， 但 已经 结婚 ， 不 适合 做出 离婚 的 行为 ； 2 、 想 了 一想 不 知道 该 如何 总结 我 的 问题 ， 权且 举出 例子 来 让 大家 帮忙 分析 分析 ； （ 1 ） 、 我 在 外地 上班 ， 离家 2 小时 的 路程 ， 去年 情人节 还 没有 结婚 ， 因为 外地 的 缘故 ， 没有 及时 买花 ， 老婆 看到 同 办公室 的 姑娘 都 收到 花后 ， 觉得 很 失落 ， 大吵一架 ； （ 2 ） 、 关注 了 一个 卖花 花店 的 微信 ， 每每 宣传 都 发些 花 的 照片 ， 老婆 看上 了 一束 棉花 （ 具体 样式 参考 某宝 ） ， 价格 300 元 7 枝 ， 说 喜欢 ， 我 当时 也 没当回事 ， 因为 没有 节日 ， 她 朋友 把 同样 的 图片 发给 其 追求者 ， 得知 第二天 其 女友 收到 花 之后 ， 即 对 我 颇 有 微词 ， 就 像 大家 所说 ， 你 看 人家 男朋友 ； （ 3 ） 、 结婚 的 时候 买 了 钻戒 ， 8000 多 吧 ， 当时 看上 了 个 1 万 2 的 ， 结果 没买 ， 婚后 很 后悔 ， 每每 提起 都 说 第二年 要 让 我 给 换 一个 大 的 ， 大 的 显得 阔气 ； 3 、 其实 老婆 平时 挺 好 的 ， 性格 也 挺 好 的 ， 也 知道 节省 ， 知道 孝顺父母 ， 公婆 ， 买 衣服 每年 也 就是 7.8 K 的 花销 ， 只是 每每 遇到 此类 攀比 之事 就 事情 去 了 理智 ， 用 她 的话 说 就是 ， 爱 一个 人 就是 通过 为 她 花 时间 和 花钱 表现 出来 的 。 4 、 我 固执 的 认为 现在 需要 赚钱 ， 存钱 ， 而 不是 去 享受 ， 再说 在 衣食住行 上面 从来 没有 亏着 老婆 ， 至少 没有 降低 婚前 她 单身 时候 的 标准 ； 她 的 观点 是 ， 人 活着 就是 要 享受 的 ， 年轻 的 时候 不买 不 穿 不用 ， 等 老 了 还有 什么 意义 ； 如何 理解 解决 这个 观念 上 的 差异 ？	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
如何 开发 编译器 ？ ， 听 轮子 叔 说 VS 是 用 当前 版本 开发 新版 ？ 那么 编译器 是 用 什么 工具 或 哪些 语言 开发 的 ？ PS ： 题主 现在 大一 ， 计算机网络 专业 ， 有 一点 C 、 Obj - C 基础 。 我 希望 在 iOS 平台 上 开发 C 的 编译器 ， 需要 学习 哪些 东西 。 看 了 轮 ( @ vczh ) 叔 的 进入 2012 - - 回顾 我 走过 的 编程 之 路 ， 很 是 惭愧 。 现在 ， 感觉 自己 一直 在 搬 砖 。 不 知道 在 学校 的 这 几年 能 不能 做出 一个 能用 的 编译器 ？ 熟悉 IDE : Xcode	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
应该 如何 体验 商场 里 的 苹果电脑 ？ ， 每次 在 商店 里 看到 各种 Mac 等 设备 ， 总会 去 摸摸 操作 一下 ， 但是 应该 怎么 操作 才能 体验 到 OSX 的 精髓 呢 ？ 隐藏 问题 ： 如何 在 AppleStore 里 高调 地用 店里 的 Mac 装逼 ？	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
如果 让你在 一个 大城市 新开 一个 BEN & JERRY ' S 冰淇淋 店 （ 在 该 城市 为 三号 店 ） ， 不 考虑 降价 或者 大量 免费 赠送 商品 等 大幅度 影响 收益 的 手段 ， 你会用 什么 方法 进行 营销 ？ ， 参考资料 ： http : / / baike . baidu . com / view / 1024219 . htm 官网 ： http : / / www . benjerry . com / company ; jsessionid = 8338B2A15C37E5C3BE44C12156344D72 . bnj1 _ worker 在 美国 这 是 个 仅次于 哈根达斯 的 著名品牌 ， 但是 在 中国 和 日本 都 还 没有 打入 市场 。 现在 在 这 两个 国家 已经 有 很多 类似 品牌 的 冰淇淋 店 ， 怎样 的 营销 能 让 这个 品牌 在 众多 既存 的 竞争对手 中 脱颖而出 ？ 希望 听取 市场营销 经验丰富 的 各位 前辈 的 看法 。 补充 ： 因为 是 在 店铺 的 地点 、 开业 时间 等 这些 具体 细节 不 作 考虑 ， 所以 只 讨论 有 普遍性 的 做法 ， 或者 自己 设定 某个 条件 下 可以 采用 某种 做法 。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
你 想 长生不老 吗 ？ ， 谷歌 高管 日 服药 150 片求 “ 长生不老 ” _ cnBeta 人物 _ cnBeta . COM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
国产 游戏 真的 很 垃圾 吗 ？ ， 我 听说 很多 外国 游戏 都 用 c 语言 写 ， 所以 即 精妙 体积 又 小 ， 国内 pc 游戏 总是 让 人 玩 着 感觉 很 诡异 ， 体验 相比 国外 的 差 很多 ， 造成 这种 差距 的 原因 是 什么 ？	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
喜欢 clearlove 是 种 什么 体验 ? ， 明凯 ， 英雄 联盟 职业 选手 ， ID : clearlove ， 现 edg 打野 ， 一直 以来 受到 争议 很大 的 人 ， 一个 努力 的 boy , 非 要说 为什么 喜欢 edg , 我 想 有 一大半 原因 都 是因为 厂长 ， 因为 他 的 坚持 ， 努力 ， 对 冠军 的 渴望 ， 对于 edg 来说 ， 他 更 像是 一个 团队 的 精神 ， 有人 对 我 说 ， 他 就是 一个 打游戏 的 ， 普普通通 的 人 ， 别 把 他 当 明星 来 喜欢 ， 可是 我 觉得 ， 他 就是 明星 啊 ， blingbling 的 ， 会 发光 的 ， 他 还 在 这条 路上 坚持 着 ， 我 怎么 能 放弃 呢 追加 一段 今天 是 2016 年 10 月 16 日 是 的 今天 s7 输 了 又 输 了 扪心自问 今天 要是 能 赢 可以 说 是 奇迹 有个 问题 我 想 了 很 久 甚至 这 两年 都 在 想 koro 是 有 多 菜 为什么 队伍 每次 都 这样 对 他 去年 也 是 最后 一把 让 他 打输 了 今年 都 说 他 菜 都 说 他 坑 状态 不好 然后 培养 mouse 是 的 国内 无敌 然后 总决赛 被 虐 这次 mouse 家里 出事 临时 让 他 来 打 知道 这个 的 时候 我 真的 服 然而 今天 他 的 表现 并 不是 一个 你们 口中 口口声 说 不行 的 童扬 细节 处理 很 好 真的 是 很 好 而 反观 整个 s7 小组赛 开始 本 以为 绝世 好 签 硬生生 给 打成 小组 第二 出线 勉强 出线 真的 玩得 一点 也 不好 厂长 真的 玩 的 不好 但 仅仅 是 他 一个 人 的 锅 吗 并 不是 吧 搞不懂 每 一年 世界 赛 都 在 追逐 别人 的 套路 总是 平时 玩得 全 被 丢下 点解 ？ 最后 一场 选 瞎子 的 时候 我 真的 是 是 好气 这 到底 是 为了 什么 小组赛 拿 出来 玩 不好 的 娜 美 为什么 又 要 拿 是不是 都 想 证明 自己 呢 ？ 其实 有时候 证明 自己 真的 是 需要 实力 的 毫不 意外 的 输 了 是 的 毫不 意外 的 看到 微博上 全是 喷 厂长 的 全是 他 是 玩 得 不好 他 比 我们 谁 都 想 赢气 了 气 了 冠军 粉 可以 不 追 了 可以 随意 的 侮辱 他 了 是 吧 我 觉得 你们 真的 没有 妈妈 乱七八糟 的 说 了 很多 气 也 气 了 我 他 妈 永远 支持 clearlove 可不可以 这次 别 跌倒 站 起来	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
